Taxa,/N/dc2/scratch/hleffler/kraken_report/SRR9649760_kraken_report, /N/dc2/scratch/hleffler/kraken_report/SRR9649757_kraken_report, /N/dc2/scratch/hleffler/kraken_report/SRR9649758_kraken_report, /N/dc2/scratch/hleffler/kraken_report/SRR9649759_kraken_report, /N/dc2/scratch/hleffler/kraken_report/SRR9649755_kraken_report, /N/dc2/scratch/hleffler/kraken_report/SRR9649754_kraken_report, /N/dc2/scratch/hleffler/kraken_report/SRR9649756_kraken_report
Magnetococcaceae,543, 793, 595, 675, 488, 361, 694
Parvularculaceae,299, 358, 269, 291, 263, 237, 320
Desulfobacteraceae,41406, 19858, 48086, 42648, 23376, 6904, 33828
Desulfobulbaceae,7782, 4835, 8423, 9848, 6022, 2171, 9052
Myxococcaceae,10195, 15528, 9857, 8997, 11456, 11067, 11530
Archangiaceae,7364, 10586, 7436, 6924, 7691, 7705, 8765
Anaeromyxobacteraceae,5458, 9384, 5484, 4778, 6133, 6763, 6575
Vulgatibacteraceae,1183, 2311, 1166, 1001, 1386, 1552, 1338
Polyangiaceae,12238, 20932, 12133, 10850, 13672, 15141, 15173
Sandaracinaceae,2258, 4451, 2076, 1964, 2539, 3328, 2731
Labilitrichaceae,1502, 2731, 1507, 1306, 1822, 2050, 1924
Kofleriaceae,2812, 5109, 2801, 2840, 3089, 3652, 3816
Geobacteraceae,23764, 21001, 25091, 25590, 19156, 13193, 25992
Desulfuromonadaceae,11097, 9723, 12410, 11620, 8216, 6059, 11314
Desulfovibrionaceae,26859, 23662, 29088, 27502, 23127, 13257, 28477
Desulfomicrobiaceae,2042, 2136, 2078, 2052, 2072, 1074, 2302
Desulfohalobiaceae,1774, 1058, 1976, 1795, 1083, 472, 1469
Syntrophobacteraceae,15520, 6400, 17074, 16490, 7341, 2550, 13363
Syntrophaceae,8228, 4271, 9021, 9034, 5280, 1797, 7895
Candidatus Desulfofervidaceae,4469, 415, 4976, 5537, 772, 238, 3780
Bradymonadaceae,912, 1261, 946, 925, 982, 809, 1098
Desulfarculaceae,3036, 2926, 3265, 3180, 2982, 1644, 3466
Desulfurellaceae,1722, 272, 1834, 2107, 429, 171, 1486
Campylobacteraceae,11328, 5486, 12941, 12186, 7911, 2444, 11869
Helicobacteraceae,6797, 2631, 7964, 9057, 4306, 1154, 8487
Nautiliaceae,721, 431, 861, 853, 546, 206, 834
Burkholderiaceae,58776, 91130, 60280, 56975, 60526, 64516, 68818
Comamonadaceae,31212, 41346, 31605, 29519, 29147, 28446, 35922
Alcaligenaceae,23173, 31730, 24226, 21932, 23327, 21861, 26501
Oxalobacteraceae,17947, 23882, 18539, 17262, 17132, 16643, 20797
Sutterellaceae,578, 621, 592, 548, 467, 441, 600
Chromobacteriaceae,8063, 10011, 8144, 8230, 7373, 6596, 10066
Neisseriaceae,6146, 5325, 6541, 6514, 4481, 3383, 6590
Nitrosomonadaceae,4248, 2665, 4767, 4994, 2072, 1448, 4469
Sterolibacteriaceae,3161, 4605, 3388, 3264, 2861, 3040, 3718
Methylophilaceae,2062, 1812, 2241, 1995, 1691, 930, 2037
Gallionellaceae,1837, 2016, 1962, 2119, 1535, 1287, 2313
Thiobacillaceae,1174, 1894, 1207, 1034, 1138, 1236, 1415
Zoogloeaceae,7622, 14031, 7688, 7129, 8542, 9856, 9228
Rhodocyclaceae,1838, 2828, 1890, 1815, 2093, 1978, 2341
