Taxa,/N/dc2/scratch/hleffler/kraken_report/SRR9649760_kraken_report, /N/dc2/scratch/hleffler/kraken_report/SRR9649757_kraken_report, /N/dc2/scratch/hleffler/kraken_report/SRR9649758_kraken_report, /N/dc2/scratch/hleffler/kraken_report/SRR9649759_kraken_report, /N/dc2/scratch/hleffler/kraken_report/SRR9649755_kraken_report, /N/dc2/scratch/hleffler/kraken_report/SRR9649754_kraken_report, /N/dc2/scratch/hleffler/kraken_report/SRR9649756_kraken_report
Halobacteriaceae,4560, 3790, 4499, 4353, 3431, 2624, 4715
Haloferacaceae,5258, 3906, 5477, 5520, 3503, 2801, 5308
Halorubraceae,2958, 4033, 2967, 2343, 3221, 2814, 3192
Natrialbaceae,9005, 8584, 9499, 8365, 7087, 5964, 9016
Methanobacteriaceae,14198, 1764, 15633, 16003, 3079, 838, 11519
Methanothermaceae,1669, 116, 1913, 1721, 178, 44, 1019
Methanococcaceae,3246, 605, 3773, 3204, 1038, 274, 2359
Methanocaldococcaceae,2709, 470, 3007, 2988, 895, 237, 2247
Thermococcaceae,13961, 3969, 15400, 14305, 7136, 2168, 12836
Archaeoglobaceae,11363, 956, 12454, 10536, 1924, 459, 6778
Thermoplasmataceae,971, 115, 1093, 1176, 309, 66, 832
Cuniculiplasmataceae,802, 97, 919, 581, 183, 50, 320
Picrophilaceae,474, 48, 526, 306, 172, 30, 210
Ferroplasmaceae,375, 88, 448, 277, 150, 31, 239
Methanomassiliicoccaceae,1657, 286, 1693, 1526, 907, 110, 1469
Candidatus Methanomethylophilaceae,397, 159, 392, 232, 394, 97, 377
Methanopyraceae,740, 272, 844, 461, 480, 169, 523
Sulfolobaceae,2902, 910, 3161, 3188, 1644, 460, 2847
Desulfurococcaceae,2154, 589, 2623, 1788, 1170, 353, 1498
Pyrodictiaceae,573, 180, 659, 384, 353, 92, 338
Thermoproteaceae,1515, 930, 1492, 1339, 1523, 534, 1545
Thermofilaceae,978, 238, 1159, 1312, 476, 109, 923
Acidilobaceae,621, 230, 725, 667, 474, 130, 592
Caldisphaeraceae,306, 71, 329, 292, 121, 28, 307
Fervidicoccaceae,349, 50, 383, 274, 76, 21, 163
Nitrososphaeraceae,2090, 726, 2258, 2473, 1014, 393, 2255
Candidatus Nitrosocaldaceae,888, 99, 922, 961, 261, 41, 628
Nitrosopumilaceae,1633, 16022, 2013, 1278, 3497, 4561, 1076
Hominidae,109434, 43149, 123178, 115069, 55586, 21714, 99846
Myoviridae,1609, 925, 1802, 1859, 1071, 462, 1730
Siphoviridae,1303, 1773, 1441, 1277, 1578, 1028, 1425
Herelleviridae,314, 87, 348, 189, 126, 34, 143
Podoviridae,201, 310, 255, 191, 348, 146, 314
Ackermannviridae,22, 20, 23, 16, 30, 13, 19
Pithoviridae,12, 17, 9, 6, 18, 7, 16
Adomaviridae,0, 0, 0, 0, 0, 0, 0
Tospoviridae,30, 2, 35, 39, 0, 0, 16
Phenuiviridae,10, 9, 9, 12, 5, 3, 11
Peribunyaviridae,9, 6, 10, 7, 13, 2, 15
Nairoviridae,7, 10, 6, 10, 2, 0, 8
Arenaviridae,6, 3, 2, 2, 8, 7, 6
Hantaviridae,6, 2, 5, 4, 8, 5, 6
Fimoviridae,1, 2, 2, 2, 0, 0, 3
Phasmaviridae,1, 0, 0, 1, 3, 1, 2
Cruliviridae,0, 0, 0, 0, 0, 0, 0
Mypoviridae,0, 0, 0, 0, 0, 2, 0
Wupedeviridae,0, 0, 0, 0, 0, 0, 0
Orthomyxoviridae,1, 0, 1, 0, 0, 0, 4
Amnoonviridae,0, 0, 0, 0, 0, 0, 0
Rhabdoviridae,15, 21, 21, 22, 26, 11, 18
Bornaviridae,13, 2, 5, 3, 1, 0, 10
Paramyxoviridae,4, 10, 10, 7, 11, 4, 11
Pneumoviridae,3, 0, 1, 0, 2, 0, 0
Nyamiviridae,3, 2, 1, 0, 1, 1, 0
Filoviridae,2, 3, 0, 2, 1, 0, 1
Mymonaviridae,0, 0, 0, 0, 0, 0, 0
Sunviridae,0, 0, 0, 0, 0, 0, 0
Xinmoviridae,0, 0, 0, 0, 0, 0, 0
Artoviridae,0, 0, 0, 0, 0, 0, 0
Lispiviridae,0, 0, 0, 0, 2, 0, 0
Chuviridae,1, 0, 1, 0, 1, 0, 0
Aspiviridae,1, 0, 1, 0, 0, 0, 1
Qinviridae,0, 1, 0, 0, 1, 0, 0
Yueviridae,0, 0, 1, 1, 0, 0, 1
Fusariviridae,4, 0, 0, 0, 1, 0, 0
Coronaviridae,57, 19, 50, 32, 16, 8, 17
Tobaniviridae,3, 3, 4, 0, 6, 3, 2
Mononiviridae,1, 1, 0, 0, 1, 0, 1
Euroniviridae,1, 1, 0, 0, 3, 2, 0
Roniviridae,0, 0, 2, 1, 0, 0, 0
Arteriviridae,0, 4, 1, 3, 1, 5, 5
Mesoniviridae,0, 1, 1, 2, 2, 0, 1
Medioniviridae,0, 0, 0, 0, 0, 0, 0
Marnaviridae,16, 2, 16, 19, 0, 1, 6
Iflaviridae,11, 10, 6, 6, 6, 2, 2
Secoviridae,9, 7, 4, 4, 5, 3, 13
Picornaviridae,8, 18, 16, 11, 10, 10, 12
Polycipiviridae,2, 1, 3, 0, 0, 2, 0
Dicistroviridae,1, 0, 1, 1, 3, 1, 1
Narnaviridae,34, 4, 66, 17, 3, 1, 14
Virgaviridae,33, 2, 50, 50, 1, 2, 2
Endornaviridae,19, 4, 18, 15, 8, 0, 5
Closteroviridae,18, 10, 21, 22, 9, 4, 13
Astroviridae,18, 3, 6, 10, 2, 1, 18
Flaviviridae,16, 30, 18, 15, 20, 8, 21
Reoviridae,15, 21, 14, 13, 21, 6, 8
Tymoviridae,5, 6, 2, 3, 2, 5, 2
Alphaflexiviridae,4, 5, 1, 3, 3, 3, 3
Betaflexiviridae,2, 8, 9, 2, 5, 2, 4
Deltaflexiviridae,2, 0, 2, 0, 4, 1, 2
Gammaflexiviridae,0, 0, 0, 0, 0, 0, 0
Togaviridae,14, 7, 22, 26, 4, 3, 17
Bromoviridae,13, 1, 8, 15, 2, 3, 4
Caliciviridae,13, 2, 7, 12, 13, 2, 1
Potyviridae,8, 13, 12, 12, 22, 8, 15
Luteoviridae,6, 0, 11, 1, 3, 0, 10
Totiviridae,4, 4, 5, 6, 5, 2, 7
Megabirnaviridae,2, 0, 1, 3, 0, 0, 6
Hepeviridae,2, 1, 0, 1, 0, 1, 3
Partitiviridae,1, 3, 2, 6, 4, 2, 1
Kitaviridae,1, 0, 0, 0, 0, 1, 0
Amalgaviridae,1, 1, 0, 0, 1, 0, 4
Hypoviridae,0, 0, 1, 0, 3, 0, 2
Tombusviridae,0, 5, 0, 1, 5, 0, 0
Matonaviridae,0, 1, 0, 0, 0, 1, 0
Botourmiaviridae,0, 0, 0, 0, 0, 0, 0
Barnaviridae,0, 0, 0, 0, 0, 0, 0
Birnaviridae,0, 0, 0, 0, 0, 0, 0
Solemoviridae,0, 0, 1, 0, 2, 0, 0
Solinviviridae,0, 0, 1, 0, 0, 0, 0
Sarthroviridae,0, 0, 0, 0, 0, 0, 0
Benyviridae,0, 0, 0, 0, 0, 0, 0
Avsunviroidae,0, 0, 0, 0, 0, 0, 0
Quadriviridae,0, 0, 0, 0, 0, 0, 0
Permutotetraviridae,0, 0, 0, 0, 0, 0, 0
Carmotetraviridae,0, 0, 0, 0, 0, 0, 0
Alphatetraviridae,0, 0, 1, 0, 0, 0, 1
Alvernaviridae,0, 0, 0, 0, 0, 0, 0
Leviviridae,0, 0, 1, 4, 0, 0, 0
Picobirnaviridae,0, 0, 0, 0, 0, 0, 0
Nodaviridae,0, 0, 0, 0, 2, 2, 0
Cystoviridae,0, 2, 2, 0, 4, 1, 1
Pospiviroidae,0, 0, 0, 0, 0, 0, 0
Chrysoviridae,0, 1, 3, 4, 5, 2, 3
Herpesviridae,267, 303, 315, 244, 308, 201, 257
Alloherpesviridae,14, 45, 31, 21, 35, 24, 22
Malacoherpesviridae,7, 8, 3, 7, 7, 1, 9
Poxviridae,329, 196, 351, 251, 196, 131, 269
Mimiviridae,310, 127, 347, 270, 152, 50, 231
Phycodnaviridae,249, 215, 277, 194, 246, 91, 228
Iridoviridae,202, 52, 259, 139, 54, 29, 89
Baculoviridae,191, 169, 210, 170, 173, 95, 167
Fuselloviridae,97, 0, 132, 45, 2, 0, 20
Adenoviridae,79, 44, 116, 57, 55, 40, 59
Marseilleviridae,46, 35, 48, 63, 57, 20, 59
Tristromaviridae,41, 3, 33, 38, 9, 5, 20
Metaviridae,19, 1, 30, 25, 1, 1, 39
Retroviridae,3, 6, 7, 5, 8, 5, 2
Caulimoviridae,2, 10, 4, 8, 22, 5, 3
Sphaerolipoviridae,15, 21, 11, 9, 14, 14, 16
Geminiviridae,15, 13, 29, 15, 35, 7, 19
Polydnaviridae,14, 7, 17, 18, 15, 6, 14
Papillomaviridae,12, 17, 13, 9, 12, 13, 11
Rudiviridae,8, 4, 13, 15, 7, 3, 23
Lipothrixviridae,3, 4, 6, 9, 1, 1, 9
Ascoviridae,10, 7, 8, 9, 7, 4, 20
Microviridae,10, 6, 8, 8, 7, 4, 13
Bicaudaviridae,9, 7, 12, 6, 6, 1, 8
Nudiviridae,7, 9, 22, 22, 20, 7, 21
Lavidaviridae,6, 2, 7, 11, 0, 0, 15
Parvoviridae,6, 14, 16, 6, 13, 7, 8
Polyomaviridae,4, 7, 11, 4, 5, 6, 13
Hytrosaviridae,4, 2, 10, 5, 6, 0, 12
Inoviridae,4, 7, 3, 2, 3, 2, 3
Nimaviridae,3, 3, 7, 5, 3, 6, 10
Smacoviridae,2, 1, 2, 1, 1, 1, 0
Hepadnaviridae,2, 1, 3, 2, 1, 1, 2
Ampullaviridae,2, 0, 0, 2, 1, 2, 0
Tolecusatellitidae,2, 1, 1, 0, 3, 0, 2
Anelloviridae,1, 4, 5, 2, 9, 0, 6
Plasmaviridae,1, 0, 0, 1, 0, 0, 0
Pleolipoviridae,1, 2, 1, 0, 0, 0, 0
Genomoviridae,1, 2, 1, 2, 2, 6, 1
Circoviridae,1, 5, 1, 1, 9, 2, 5
Turriviridae,1, 0, 0, 0, 1, 0, 0
Bacilladnaviridae,0, 0, 0, 0, 1, 0, 0
Portogloboviridae,0, 0, 0, 0, 0, 0, 0
Ovaliviridae,0, 0, 0, 0, 0, 0, 1
Spiraviridae,0, 0, 0, 0, 0, 0, 0
Alphasatellitidae,0, 1, 2, 1, 2, 0, 1
Bidnaviridae,0, 0, 0, 0, 0, 0, 0
Clavaviridae,0, 0, 0, 0, 0, 0, 0
Guttaviridae,0, 0, 0, 0, 0, 0, 0
Globuloviridae,0, 0, 0, 0, 0, 1, 1
Nanoviridae,0, 1, 1, 3, 3, 0, 2
Asfarviridae,0, 5, 0, 0, 0, 0, 0
Corticoviridae,0, 0, 1, 0, 0, 0, 0
Tectiviridae,0, 0, 0, 0, 1, 0, 0
